1,Designing for Outdoor Play,Saturday  May 04  2019 - 08:00:00,Saturday  May 04  2019 14:00,Alsh 1,Gavin Wood  Northumbria University Jon Back  Uppsala University Jaz Hee-jeong Choi  RMIT University Thomas Dylan  Northumbria University Marti Louw  Carnegie Mellon University,There is widespread societal concern regarding the reduction in the amount of time that we all spend playing outdoors. Outdoor play can be important for our social and physical well-being and moreover helps us to connect to space  place and environment. Of course  the CHI community continues to explore play across many contexts; however  specifically designing for outdoor play remains underexplored. This workshop aims to bring together those who are interested in technological  social and design aspects of outdoor play for all ages. We will use participants' insights  energies and expertise to explore the challenges and focus on how we can build a community to share innovative designs  generate knowledge and make actionable research in this context.
2,With an Eye to the Future: HCI Practice and Research in the Arab World1,Saturday  May 04  2019 - 08:00:00,Saturday  May 04  2019 14:00,Alsh 2,Ebtisam Alabdulqader  King Saud University Shaimaa Lazem  City of Scientific Research and Technology Applications Soud Nassir  University of Technology Sydney Mennatallah Saleh  Technical University inBerlin Sarah Armoush  Newcastle University Susan Dray  Dray Associates,ArabHCI initiative was inaugurated in a CHI17 SIG Meeting that brought together 45+ HCI Arab/non-Arab researchers/practitioners who are conducting/interested in HCI within Arab communities. The meeting started an ongoing dialogue that recognizes the fact that HCI is still in its infancy in the Arab world and explores challenges and opportunities for shaping the future of HCI in the region. The meeting was further followed by three successful meetings in SIGCHI sponsored events that included general discussions about the state of HCI research in Arab countries  and a thematic discussion on exploring participatory design practices with Arab communities. In this workshop  we build on the momentum generated by our previous meetings  and attempt to draw a roadmap for HCI research and practice in Arab world. Our goal is to bring together researchers and practitioners to discuss case studies from their own work  share experiences and lessons learned  and envision the future of the field in this area. We plan to share the results of our discussions and research agenda with the wider CHI community through various social and scholarly channels.
3,DC01: Designing for the Self: Enabling People to Design Behavioral Interventions,Saturday  May 04  2019 - 08:00:00,Saturday  May 04  2019 14:00,Forth,Elena Agapie  University of Washington,I investigate how individuals can employ human centered design techniques to adopt positive behaviors in their everyday life. I have designed and built a tool that supports individuals in planning physical activity using design processes such as understanding other people's behavioral needs  ideating behavioral interventions and prototyping behavioral solutions using evidence-based techniques. In my dissertation I will demonstrate how tools can support iterative behavioral design by evaluating behavioral solutions  drawing insights from testing  and making iterations to a behavioral solution. This work will result in new tools and design methods that enable people to adapt evidence-based techniques in a way that fits with their everyday needs.
4,DC02: Bridging Social Critique and Design: Building a Health Informatics Tool for Transgender Voice,Saturday  May 04  2019 - 08:00:00,Saturday  May 04  2019 14:00,Forth,Alex A. Ahmed  Northeastern University,This project aims to develop a voice training application for transgender people. Voice training is typically conducted by a speech therapist  and consists of personalized sessions that support individuals in changing their voices (such as modifying pitch  resonance  or speech patterns). The reasons why people may pursue voice training are varied  but often includes discomfort with voice being misaligned with gender identity. Training with a speech therapist may be inaccessible due to health disparities; thus  a technological solution  as I propose in my research  is necessary. This project will address existing constraints to design a novel voice training application in partnership with community members  using a participatory research methodology and combining the fields of speech science  feminist and queer theory  and HCI.
5,DC03: Bodily Connectedness: Designing Affective  Movement-based Communication Media,Saturday  May 04  2019 - 08:00:00,Saturday  May 04  2019 14:00,Forth,Yulia Brazauskayte  University of New South Wales,This is a practice based PhD research that explores inter-affective movement-based communication as an approach to mediated connectedness (an immediate  felt experience of feeling close to another person) over distance in dyads. Inspired by recent socio-cognitive theories (e.g. enactive intersubjectivity [8]  synergistic approach [16]  in this thesis communication is viewed as a dynamic coordination between two holistic living bodies  rather than two abstract minds transmitting information from sender to receiver. The main hypothesis is that coordinated inter-affective movement can facilitate the feeling of connectedness in mediated settings. I will creatively explore this assumption by developing a sequence of experimental design artifacts.
6,DC04: HCI for Participatory Futuring in Sustainable Communities: Reconciling Visions with Everyday Practice,Saturday  May 04  2019 - 08:00:00,Saturday  May 04  2019 14:00,Forth,Simran Chopra  Northumbria University,"Current food consumption patterns are unsustainable. The food system is globalized and dominated by a few large organisations  which dis-empowers people to make changes to it. However  grassroots communities are important in engendering positive change from the bottom up. Long-term thinking is a key to empowering these communities in transitioning towards sustainable food systems. This research is concerned with practices of ""futuring"" in grassroots communities and how HCI can facilitate openness  participation  and coordination in constructing visions of the future  and in reconciling these with the everyday practices of the communities."
7,DC05: Reconnecting the Body and the Mind: Technology to Support Mindfulness for Stress,Saturday  May 04  2019 - 08:00:00,Saturday  May 04  2019 14:00,Forth,Karen Anne Cochrane  University of Sydney,Mindfulness meditation has the potential to help practitioners cope with their stress. Currently  projects often use corrective feedback models to help people understand when they are out of a mindfulness state. My dissertation uses research by design to build a technology intervention for mindfulness meditation that adopts a strategy of gently guiding and supporting the user's in-the-moment experience of practising meditation through a natural soundscape that responds to the user's brainwave activity collected from the Muse EEG Headset.
8,DC06: User Adaptation to Constant Change in Algorithmically-Driven Social Platforms,Saturday  May 04  2019 - 08:00:00,Saturday  May 04  2019 14:00,Forth,Michael A. DeVito  Northwestern University,Social platforms present a challenge for self-presentation and identity management by obscuring audiences behind algorithmic mechanisms. Users are increasingly aware of this and actively adapting through folk theorization  but we do not know how users are coping with the constant change endemic to these platforms  or how we can assist users in this coping process. My dissertation will examine how users perceive and adapt to the constantly-changing platform space using self-presentation and audience management as an illustrative case.
9,DC07: Algorithms  Oppression  and Mental Illness on Social Media,Saturday  May 04  2019 - 08:00:00,Saturday  May 04  2019 14:00,Forth,Jessica L. Feuston  Northwestern University,My research explores how individuals with mental illness express themselves online and off. Through digital ethnography  including interviews with Instagram users and manual collection of public content on Instagram  I have holistically examined the experience of mental illness as expressed through social media. This user-centric approach reveals and addresses the limitations of computational techniques  which my dissertation work will address by combining qualitative methods with generative algorithms to explore new 'ways of seeing' mental illness. I will create new tools enabling users to generate representations from their own posts in support of creating new representations of mental illness  advancing algorithmic fairness  and confronting technological forms of oppression online.
10,DC08: Languages & Visualizations to Enable Effective End User Programming,Saturday  May 04  2019 - 08:00:00,Saturday  May 04  2019 14:00,Forth,Jane Hoffswell  University of Washington,Programming requires expertise to employ effectively. My research aims to help end user programmers more effectively author  understand  and reuse code and data through the design of new languages and program visualization tools. New programming languages can raise the level of abstraction to focus on relevant domain-specific details. Improved tools can better align with and enrich end user programmers' mental models. Visualizing program state and behavior promotes program understanding  and can proactively surface surprising or incorrect results. My future work proposes to explore new visualization techniques and languages to facilitate understanding of constraint programming systems.
